Date,Price,Open,High,Low,Vol.,Change %
"Oct 16, 2020","16,919","16,326","17,000","16,258",1.89M,3.63%
"Oct 15, 2020","16,326","16,100","16,326","15,867",2.29M,0.22%
"Oct 14, 2020","16,290","15,956","16,616","15,955",2.03M,1.08%
"Oct 13, 2020","16,116","16,200","16,388","15,957",1.97M,-1.56%
"Oct 12, 2020","16,372","16,100","16,494","16,050",3.46M,2.76%
"Oct 09, 2020","15,932","15,333","15,937","15,333",1.72M,4.67%
"Oct 08, 2020","15,221","14,771","15,389","14,635",4.01M,3.19%
"Oct 07, 2020","14,750","14,245","14,774","14,115",2.80M,3.15%
"Oct 06, 2020","14,300","14,490","14,934","14,253",2.93M,-0.36%
"Oct 05, 2020","14,351","14,385","14,458","13,880",2.49M,1.31%
"Oct 02, 2020","14,166","14,453","14,461","13,893",3.80M,-1.63%
"Oct 01, 2020","14,400","14,700","15,003","14,158",2.45M,-1.01%
"Sep 30, 2020","14,547","14,800","14,975","14,520",3.87M,-1.66%
"Sep 29, 2020","14,792","14,890","14,890","14,277",3.21M,0.74%
"Sep 28, 2020","14,683","14,168","15,038","14,168",2.76M,1.44%
"Sep 25, 2020","14,475","14,940","14,983","14,069",2.96M,0.74%
"Sep 23, 2020","14,368","14,010","14,687","13,930",3.40M,0.17%
"Sep 22, 2020","14,343","15,140","15,141","14,174",3.48M,-6.68%
"Sep 21, 2020","15,370","15,725","15,798","14,901",2.41M,-3.13%
"Sep 18, 2020","15,866","16,263","16,263","15,700",4.18M,0.44%
"Sep 17, 2020","15,796","16,205","16,675","15,666",6.36M,-5.73%
"Sep 16, 2020","16,756","17,155","17,399","16,548",2.33M,-1.59%
"Sep 15, 2020","17,026","17,990","18,010","16,821",4.42M,-3.26%
"Sep 14, 2020","17,599","17,186","17,824","17,086",5.48M,1.39%
"Sep 11, 2020","17,357","16,625","17,419","16,467",4.71M,4.05%
"Sep 10, 2020","16,682","15,530","17,080","15,114",5.96M,6.59%
"Sep 09, 2020","15,651","15,756","15,890","15,434",4.25M,-0.20%
"Sep 08, 2020","15,683","16,150","16,473","15,289",5.02M,-3.79%
"Sep 07, 2020","16,301","16,005","16,945","16,005",3.22M,2.34%
"Sep 04, 2020","15,929","15,320","16,335","15,105",3.64M,4.33%
"Sep 03, 2020","15,268","15,890","15,950","15,084",3.24M,-1.67%
"Sep 02, 2020","15,527","15,200","15,730","15,006",3.20M,2.73%
"Sep 01, 2020","15,115","16,100","16,281","15,018",3.58M,-3.34%
"Aug 31, 2020","15,637","16,000","16,181","15,439",5.14M,0.11%
"Aug 28, 2020","15,620","15,691","16,100","15,547",2.69M,-0.41%
"Aug 27, 2020","15,685","15,899","16,342","15,632",2.72M,-0.43%
"Aug 26, 2020","15,752","16,024","16,024","15,571",1.98M,-0.40%
"Aug 25, 2020","15,815","16,702","16,834","15,720",1.95M,-5.24%
"Aug 24, 2020","16,689","15,952","17,173","15,952",2.06M,4.01%
"Aug 21, 2020","16,046","15,850","16,324","15,456",3.26M,3.32%
"Aug 20, 2020","15,530","16,351","16,813","15,404",5.20M,-7.18%
"Aug 19, 2020","16,731","16,745","17,152","16,509",2.88M,-0.61%
"Aug 18, 2020","16,833","17,400","17,400","16,658",2.71M,-2.59%
"Aug 17, 2020","17,280","17,399","17,449","17,017",1.80M,1.37%
"Aug 14, 2020","17,047","16,700","17,679","16,700",2.68M,0.11%
"Aug 13, 2020","17,029","16,800","17,066","16,402",2.59M,1.67%
"Aug 12, 2020","16,750","15,599","16,811","15,377",2.80M,5.70%
"Aug 11, 2020","15,847","16,000","16,375","15,615",3.04M,-1.90%
"Aug 07, 2020","16,154","16,175","16,554","15,953",3.85M,-0.62%
"Aug 06, 2020","16,254","17,000","17,016","16,080",2.49M,-1.52%
"Aug 05, 2020","16,505","16,155","17,100","16,155",5.28M,5.80%
"Aug 04, 2020","15,600","15,400","15,780","15,294",3.15M,1.52%
"Aug 03, 2020","15,367","15,333","15,587","14,807",2.65M,1.85%
"Jul 31, 2020","15,088","15,000","15,574","14,854",3.78M,2.72%
"Jul 30, 2020","14,689","15,574","15,762","14,515",5.43M,-5.21%
"Jul 29, 2020","15,497","15,816","16,624","15,475",5.17M,-4.27%
"Jul 28, 2020","16,188","15,573","16,210","15,418",4.46M,1.26%
"Jul 27, 2020","15,986","15,750","16,224","15,573",2.74M,3.14%
"Jul 24, 2020","15,500","15,000","15,549","14,944",3.67M,0.78%
"Jul 23, 2020","15,380","14,830","15,572","14,830",3.51M,4.24%
"Jul 22, 2020","14,755","14,658","15,350","14,552",4.22M,1.39%
"Jul 21, 2020","14,552","15,004","15,298","14,552",4.02M,-1.68%
"Jul 20, 2020","14,801","14,500","14,940","14,250",2.24M,4.11%
"Jul 17, 2020","14,217","14,300","14,419","14,011",3.30M,-0.58%
"Jul 16, 2020","14,300","14,400","14,591","13,966",3.19M,-2.17%
"Jul 15, 2020","14,617","14,000","14,675","13,701",5.59M,4.40%
"Jul 14, 2020","14,001","13,580","14,086","13,446",3.30M,1.92%
"Jul 13, 2020","13,737","14,250","14,250","13,674",3.31M,-0.77%
"Jul 10, 2020","13,843","13,700","14,189","13,504",6.90M,-0.92%
"Jul 09, 2020","13,972","13,698","14,287","13,397",5.74M,2.31%
"Jul 08, 2020","13,657","12,500","13,677","12,462",4.95M,9.56%
"Jul 07, 2020","12,465","12,000","12,525","11,717",3.72M,3.97%
"Jul 06, 2020","11,989","11,400","11,989","11,296",2.66M,4.47%
"Jul 03, 2020","11,476","11,600","11,649","11,377",1.19M,-1.49%
"Jul 02, 2020","11,649","11,545","11,915","11,340",3.26M,3.97%
"Jul 01, 2020","11,204","11,518","12,049","11,154",3.09M,-3.41%
"Jun 30, 2020","11,600","11,850","11,950","11,486",5.73M,-2.08%
"Jun 29, 2020","11,846","11,350","11,912","11,350",6.34M,3.91%
"Jun 26, 2020","11,400","11,700","11,780","11,334",3.35M,-2.29%
"Jun 25, 2020","11,667","11,310","11,792","11,099",3.43M,1.90%
"Jun 24, 2020","11,450","12,399","12,407","11,362",2.97M,-6.15%
"Jun 23, 2020","12,200","11,450","12,450","11,450",5.52M,5.48%
"Jun 22, 2020","11,566","11,807","11,995","11,209",2.30M,-2.04%
